Rk,Player,Position,Age,Team,Games,Minutes played per game,Field Goal Percentage,Points per game
357,Greg Monroe,C,28,PHI,3,17.3,0.652,13.7
359,Eric Moreland,PF,27,PHO,1,5,,0
359,Eric Moreland,PF,27,TOR,4,9.5,0.429,1.8
362,Markieff Morris,PF,29,WAS,34,26,0.436,11.5
362,Markieff Morris,PF,29,OKC,24,16.1,0.391,6.5
369,Mike Muscala,PF,27,PHI,47,22.1,0.392,7.4
369,Mike Muscala,PF,27,LAL,17,15.6,0.434,5.9
370,Sviatoslav Mykhailiuk,SF,21,LAL,39,10.8,0.333,3.3
370,Sviatoslav Mykhailiuk,SF,21,DET,3,6.7,0.25,2
380,James Nunnally,SF,28,MIN,13,4.9,0.429,2.1
380,James Nunnally,SF,28,HOU,2,19,0.231,4.5
392,Kelly Oubre Jr.,SF,23,WAS,29,26,0.433,12.9
392,Kelly Oubre Jr.,SF,23,PHO,40,29.5,0.453,16.9
394,Jabari Parker,PF,23,CHI,39,26.7,0.474,14.3
394,Jabari Parker,PF,23,WAS,25,27.3,0.523,15
400,Cameron Payne,PG,24,CHI,31,17.3,0.411,5.7
400,Cameron Payne,PG,24,CLE,9,19.6,0.491,8.2
408,Otto Porter,SF,25,WAS,41,29,0.457,12.6
408,Otto Porter,SF,25,CHI,15,32.8,0.483,17.5
409,Bobby Portis,PF,23,CHI,22,24.1,0.45,14.1
409,Bobby Portis,PF,23,WAS,28,27.4,0.44,14.3
423,Austin Rivers,SG,26,WAS,29,23.6,0.392,7.2
423,Austin Rivers,SG,26,HOU,47,28.6,0.413,8.7
438,Dario ?ari?,PF,24,PHI,13,30.5,0.364,11.1
438,Dario ?ari?,PF,24,MIN,68,23.9,0.454,10.5
441,Mike Scott,PF,30,LAC,52,14.4,0.4,4.8
441,Mike Scott,PF,30,PHI,27,24,0.4,7.8
443,Wayne Selden,SG,24,MEM,32,14.2,0.404,5.4
443,Wayne Selden,SG,24,CHI,43,22.9,0.407,8
445,Landry Shamet,SG,21,PHI,54,20.5,0.441,8.3
445,Landry Shamet,SG,21,LAC,25,27.8,0.414,10.9
446,Iman Shumpert,SG,28,SAC,42,26.2,0.382,8.9
